date,type
20120104,zero
20120322,repeat
20120504,repeat
20120521,repeat
20120712,nobin
20120717,nobin
20121026,nobin
20121224,repeat
20130122,nobin
20130208,repeat
20130222,nobin
20130305,repeat
20130410,nobin
20130508,nobin
20130701,repeat
20130918,repeat
20140224,nobin
20140314,nobin
20140325,repeat
20140918,nobin
20140923,repeat
20141125,repeat
20141211,repeat
20141223,nobin
20150119,repeat
20150122,zero
20150123,zero
20150202,nobin
20150206,repeat
20150216,zero
20150217,zero
20150225,zero
20150319,zero
20150325,zero
20150326,zero
20150420,repeat
20150423,zero
20150424,repeat
20150424,zero
20150513,repeat
20150515,zero
20150518,nobin
20150527,zero
20150528,nobin
20150529,zero
20150601,repeat
20150605,repeat
20150608,repeat
20150609,repeat
20150610,zero
20150610,repeat
20150611,zero
20150612,zero
20150615,repeat
20150629,zero
20150630,zero
20150706,repeat
20150708,repeat
20150713,repeat
20150716,nobin
20151209,zero
20151222,zero
20151222,repeat
20151224,zero
20151231,zero
20160104,repeat
20160107,repeat
20160204,zero
20160309,zero
20160311,zero
20160331,zero
20160406,zero
20160419,zero
20160425,zero
20160427,zero
20160506,zero
20160530,repeat
20160802,zero
20160808,zero
20160809,zero
20160823,zero
20160826,zero
20160908,zero
20161104,repeat
20161110,repeat
20161122,zero
20161124,repeat
20161220,zero
20161222,zero
20161229,zero
20170105,zero
20170117,zero
20170118,repeat
20170118,zero
20170120,zero
20170125,zero
20170207,zero
20170213,zero
20170306,zero
20170309,repeat
20170323,zero
20170323,repeat
20170412,zero
20170413,repeat
20170421,zero
20170426,zero
20170428,repeat
20170503,zero
20170505,zero
20170511,zero
20170616,zero
20170619,zero
20170707,zero
20170711,zero
20170721,zero
20170801,zero
20170803,zero
20170808,zero
20170919,zero
20171013,zero
20171026,zero
20171106,zero
20171113,repeat
20171114,repeat
20171218,zero
20180118,zero
20180202,repeat
20180316,repeat
20180410,zero
